NFO:     127.0.0.1:54988 - "GET /auth/callback?code=AQD7nyXS8X_Go2B7e-v7hTt1yplm1jtcSamp10EVMmkZJo_EFoJJGS8VGi9C9_uJt1VE9aSZ1mLYZ7Yz5EWGkKdsbJoQGplb2JxBy5yqK3o3coOgUf2v8tYsWKltvOAiHBZZxlsiwVjE8WEwJL1wkKxZuf4ITEzwHrdHUaCWiWymlOOulyeLksZ6hhHLb-cSv3DxVwbOqQ9nLycqovDH0bPwWjCvhhmun0i_hXIUCiqX7ErCGvPziEvdKZzPRJEdUCfVo_Vo2AsOmmivdjqFIB_CFDJsQyzV3tz3hRl82ry3A-f5DA HTTP/1.1" 200 OK
INFO:     172.31.67.2:36006 - "GET /spotify/callback?code=AQD7nyXS8X_Go2B7e-v7hTt1yplm1jtcSamp10EVMmkZJo_EFoJJGS8VGi9C9_uJt1VE9aSZ1mLYZ7Yz5EWGkKdsbJoQGplb2JxBy5yqK3o3coOgUf2v8tYsWKltvOAiHBZZxlsiwVjE8WEwJL1wkKxZuf4ITEzwHrdHUaCWiWymlOOulyeLksZ6hhHLb-cSv3DxVwbOqQ9nLycqovDH0bPwWjCvhhmun0i_hXIUCiqX7ErCGvPziEvdKZzPRJEdUCfVo_Vo2AsOmmivdjqFIB_CFDJsQyzV3tz3hRl82ry3A-f5DA HTTP/1.1" 307 Temporary Redirect
INFO:     172.31.67.2:36006 - "GET /?auth=error HTTP/1.1" 200 OK
INFO:     172.31.67.2:36006 - "GET /static/app-user.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:49884 - "GET /auth/login HTTP/1.1" 200 OK
INFO:     172.31.67.2:50164 - "GET /auth/login HTTP/1.1" 200 OK
INFO:     127.0.0.1:49884 - "GET /auth/callback?code=AQBYWViYC5bQPEBsV1llotMUlZOCJeeQ0h3Va1Kc-5e_wfHbuNxwHmjOgo4lQZ2e-MbKf_dvHD2JV9dGDNFykFfaAO3GVTS0aDSBlmprTb72zjW6KisKPrOl_N9Mg3A0Yi9Ma7SHr_NyndMB3qLsc7Vhs2mSfd4FvES0srlviBVmK5XT1Bm6mSphtHeflWmSPX8op8Dy6ukouR3U6LW9uX3F91eyFS8uqvAI1XErlPCEtKQaTHeqdWWTpFzt2V-jNYBkI0e-RTFTzQ1uVocV7kiPa8IltJr3hUohqyOpZQQ7CzcQkA HTTP/1.1" 200 OK
INFO:     172.31.67.2:50164 - "GET /spotify/callback?code=AQBYWViYC5bQPEBsV1llotMUlZOCJeeQ0h3Va1Kc-5e_wfHbuNxwHmjOgo4lQZ2e-MbKf_dvHD2JV9dGDNFykFfaAO3GVTS0aDSBlmprTb72zjW6KisKPrOl_N9Mg3A0Yi9Ma7SHr_NyndMB3qLsc7Vhs2mSfd4FvES0srlviBVmK5XT1Bm6mSphtHeflWmSPX8op8Dy6ukouR3U6LW9uX3F91eyFS8uqvAI1XErlPCEtKQaTHeqdWWTpFzt2V-jNYBkI0e-RTFTzQ1uVocV7kiPa8IltJr3hUohqyOpZQQ7CzcQkA HTTP/1.1" 307 Temporary Redirect
INFO:     172.31.67.2:50164 - "GET /?auth=error HTTP/1.1" 200 OK
INFO:     172.31.67.2:44122 - "GET / HTTP/1.1" 200 OK
INFO:     172.31.67.2:44122 - "GET /static/app-user.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:42180 - "GET /auth/login HTTP/1.1" 200 OK
INFO:     172.31.67.2:44122 - "GET /auth/login HTTP/1.1" 200 OK
INFO:     127.0.0.1:47282 - "GET /auth/callback?code=AQAtu1ZqT0kpVg5QDYMNig_-sZYQtcDeJE6vb8xnEWNfe1KOT_z9e56Fd_5010lvaIf85sg71q2qRD9nULVklJeBWkEJ6As_2dsaJH6kfkMMtQhhk03TKVH9-XkBgu5qa9NCeoFY3S5tez6SeF-78TGoc7O5oCOSJAkXkVgBatly1KS_ENluJE1rxZUHr9wz0kvU4ZP38PHqXEzNtnwIXKJOdFNT0HSa_S3kg4ZlkU-ItfZy01M68MyxXNQpdtNejnZEERhtj8JqFiFQR2MokiWHuLkHPnr_spISE4k4-C2m83FbsQ HTTP/1.1" 200 OK
INFO:     172.31.67.2:39944 - "GET /spotify/callback?code=AQAtu1ZqT0kpVg5QDYMNig_-sZYQtcDeJE6vb8xnEWNfe1KOT_z9e56Fd_5010lvaIf85sg71q2qRD9nULVklJeBWkEJ6As_2dsaJH6kfkMMtQhhk03TKVH9-XkBgu5qa9NCeoFY3S5tez6SeF-78TGoc7O5oCOSJAkXkVgBatly1KS_ENluJE1rxZUHr9wz0kvU4ZP38PHqXEzNtnwIXKJOdFNT0HSa_S3kg4ZlkU-ItfZy01M68MyxXNQpdtNejnZEERhtj8JqFiFQR2MokiWHuLkHPnr_spISE4k4-C2m83FbsQ HTTP/1.1" 307 Temporary Redirect
INFO:     172.31.67.2:39944 - "GET /?auth=error HTTP/1.1" 200 OK
